,Strain,Contig,ARG,Per.ID,Length,MiMa,Gap,C.Start,C.End,A.Start,A.End,E.val,Bit.Score,Per.Pos
1528,ECOR10,NODE_37,BAC0176|gadW/yhiW|sp|P63201|GADW_ECOLI,44.898,98,54,0,3966,4259,136,233,1.97E-20,88.6,63.27
15292,ECOR10,NODE_37,BAC0334|robA|sp|P0ACI0|ROB_ECOLI,34.167,120,77,1,4793,5152,118,1,5.19E-18,82.4,61.67
28821,ECOR10,NODE_38,BAC0163|fecD|sp|P15029|FECD_ECOLI,99.686,318,1,0,6144,7097,1,318,1.49E-147,457,99.69
28812,ECOR10,NODE_38,BAC0164|fecE|sp|P15031|FECE_ECOLI,100,255,0,0,7101,7865,1,255,1.78E-161,494,100
23553,ECOR10,NODE_4,BAC0141|emeA|tr|Q8GR72|Q8GR72_ENTFL,40,45,27,0,13656,13790,36,80,0.023,39.3,66.67
23834,ECOR10,NODE_4,BAC0367|smvA/emrB|sp|D0ZXQ3|SMVA_SALT1,46.667,45,24,0,94758,94892,106,62,1.7,33.5,60
22752,ECOR10,NODE_4,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,42.271,317,165,5,123850,124794,441,141,1.12E-66,233,62.15
2274,ECOR10,NODE_4,BAC0138|dsbC|sp|P0AEG6|DSBC_ECOLI,99.576,236,1,0,157756,158463,236,1,1.81E-158,488,100
23892,ECOR10,NODE_4,BAC0493|kmrA|tr|C4X8X9|C4X8X9_KLEPN,44,50,26,1,208125,208274,62,109,5.7,31.6,60
2495,ECOR10,NODE_5,BAC0534|emrD-3|tr|A5EYZ6|A5EYZ6_VIBC3,35.714,42,24,1,108551,108667,102,61,3.7,32,71.43
2407,ECOR10,NODE_5,BAC0218|mdtK/ydhE|sp|P37340|MDTK_ECOLI,99.781,457,1,0,135097,136467,457,1,0,798,100
24091,ECOR10,NODE_5,BAC0707|sodB|sp|P0AGD3|SODF_ECOLI,100,187,0,0,144059,144619,187,1,1.90E-111,352,100
24141,ECOR10,NODE_5,BAC0217|mdtJ/ebrB/ydgF|sp|Q3Z1V3|MDTJ_SHISS,100,121,0,0,206496,206858,1,121,8.53E-71,232,100
1081,ECOR10,NODE_51,BAC0486|pmrG|sp|Q8ZNF4|AIS_SALTY,39.56,182,105,2,3033,3563,198,17,4.19E-45,157,63.74
20844,ECOR10,NODE_6,BAC0116|cutF/nlpE|sp|P40710|NLPE_ECOLI,100,236,0,0,7873,8580,236,1,7.88E-160,492,100
2086,ECOR10,NODE_6,BAC0164|fecE|sp|P15031|FECE_ECOLI,42.52,254,145,1,53280,54041,254,2,1.48E-60,208,61.02
20822,ECOR10,NODE_6,BAC0103|cueO|sp|P36649|CUEO_ECOLI,100,516,0,0,85219,86766,516,1,0,961,100
22302,ECOR10,NODE_6,BAC0714|arsT|tr|B7FB00|B7FB00_9MICO,35.714,42,27,0,95797,95922,46,5,0.75,34.3,61.9
20811,ECOR10,NODE_6,BAC0296|ostA/lptD|sp|P31554|LPTD_ECOLI,100,784,0,0,166754,169105,1,784,0,1629,100
2085,ECOR10,NODE_6,BAC0644|corD|sp|Q56017|APAG_SALTY,94.4,125,7,0,172257,172631,1,125,6.66E-66,218,97.6
1087,ECOR10,NODE_66,BAC0173|gadB|sp|P69910|DCEB_ECOLI,100,377,0,0,1,1131,82,458,0,789,100
41952,ECOR10,NODE_7,BAC0459|zitB/ybgR|sp|P75757|ZITB_ECOLI,100,307,0,0,45255,46175,307,1,1.29E-152,475,100
43441,ECOR10,NODE_7,BAC0433|ybtQ|tr|Q9Z375|Q9Z375_YERPE,36.17,47,30,0,53797,53937,528,482,7.8,30.8,63.83
41962,ECOR10,NODE_7,BAC0608|modE|sp|P0A9G8|MODE_ECOLI,100,262,0,0,55211,55996,262,1,1.39E-149,464,100
41941,ECOR10,NODE_7,BAC0609|modA|sp|P37329|MODA_ECOLI,100,257,0,0,56441,57211,1,257,1.12E-168,518,100
41981,ECOR10,NODE_7,BAC0610|modB|sp|P0AF01|MODB_ECOLI,100,229,0,0,57214,57900,1,229,9.36E-105,334,100
4184,ECOR10,NODE_7,BAC0611|modC|sp|P09833|MODC_ECOLI,100,352,0,0,57906,58961,1,352,0,674,100
44831,ECOR10,NODE_7,BAC0003|acn|tr|O53166|O53166_MYCTU,42.553,47,26,1,66766,66906,820,865,0.14,37,63.83
4496,ECOR10,NODE_7,BAC0178|gesA|tr|Q8ZRG8|Q8ZRG8_SALTY,40.323,62,32,1,91025,91195,133,72,0.000794,43.9,61.29
4432,ECOR10,NODE_7,BAC0049|bhsA/ycfR/comC|sp|P0AB40|BHSA_ECOLI,46.512,86,45,1,99020,99277,85,1,1.51E-09,56.2,62.79
4431,ECOR10,NODE_7,BAC0049|bhsA/ycfR/comC|sp|P0AB40|BHSA_ECOLI,43.023,86,48,1,103151,103408,85,1,8.92E-14,68.2,61.63
42014,ECOR10,NODE_7,BAC0253|mntR|sp|P0A9F1|MNTR_ECOLI,100,155,0,0,114535,114999,1,155,2.04E-98,312,100
4464,ECOR10,NODE_7,BAC0354|smdB|tr|A7VN02|A7VN02_SERMA,31.579,57,37,1,118629,118793,477,533,0.12,37,61.4
41893,ECOR10,NODE_7,BAC0611|modC|sp|P09833|MODC_ECOLI,31.897,116,75,1,129307,129642,102,217,5.26E-08,57,61.21
42291,ECOR10,NODE_7,BAC0271|nikB|sp|P33591|NIKB_ECOLI,40.256,313,182,2,132319,133245,1,312,2.30E-52,187,60.7
42311,ECOR10,NODE_7,BAC0272|nikC|sp|P0AFA9|NIKC_ECOLI,38.776,245,149,1,133410,134144,28,271,2.07E-46,168,60.41
41821,ECOR10,NODE_7,BAC0208|mdfA/cmr|sp|P0AEY8|MDFA_ECOLI,100,410,0,0,145025,146254,1,410,0,773,100
41971,ECOR10,NODE_7,BAC0540|nfsA|sp|P17117|NFSA_ECOLI,100,240,0,0,164123,164842,1,240,2.23E-142,442,100
4217,ECOR10,NODE_7,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,39.1,289,164,3,167984,168850,1,277,1.25E-60,212,60.9
42001,ECOR10,NODE_7,BAC0610|modB|sp|P0AF01|MODB_ECOLI,46.667,60,32,0,169661,169840,105,164,2.80E-06,50.4,61.67
68131,ECOR10,NODE_8,BAC0318|pstS|sp|P0AG82|PSTS_ECOLI,100,346,0,0,30033,31070,1,346,0,676,100
6819,ECOR10,NODE_8,BAC0317|pstC|sp|P0AGH8|PSTC_ECOLI,99.687,319,1,0,31160,32116,1,319,4.58E-174,536,99.69
6817,ECOR10,NODE_8,BAC0315|pstA|sp|P07654|PSTA_ECOLI,100,296,0,0,32119,33006,1,296,3.62E-180,553,100
6821,ECOR10,NODE_8,BAC0316|pstB|sp|P0AAH0|PSTB_ECOLI,100,257,0,0,33192,33962,1,257,8.99E-166,510,100
68241,ECOR10,NODE_8,BAC0541|yieF|sp|P0AGE6|YIEF_ECOLI,100,188,0,0,46343,46906,188,1,6.94E-123,384,100
68271,ECOR10,NODE_8,BAC0194|ibpA|sp|P0C054|IBPA_ECOLI,100,137,0,0,74135,74545,1,137,8.86E-87,278,100
68252,ECOR10,NODE_8,BAC0195|ibpB|sp|P0C058|IBPB_ECOLI,100,142,0,0,74660,75085,1,142,3.46E-92,294,100
68141,ECOR10,NODE_8,BAC0149|emrD|sp|P31442|EMRD_ECOLI,100,394,0,0,86295,87476,394,1,0,572,100
69992,ECOR10,NODE_8,BAC0053|bmr|sp|P33449|BMR1_BACSU,29.091,55,35,1,103552,103716,82,32,6.8,30.8,61.82
68121,ECOR10,NODE_8,BAC0356|recG|tr|Q9HTL3|Q9HTL3_PSEAE,59.565,690,273,5,125935,127995,690,4,0,718,73.62
6994,ECOR10,NODE_8,BAC0294|oqxA|tr|Q69HW3|Q69HW3_ECOLX,33.333,42,28,0,181104,181229,63,104,1.2,33.5,66.67
4590,ECOR10,NODE_9,BAC0378|sugE|sp|P69937|SUGE_ECOLI,100,105,0,0,15281,15595,105,1,9.28E-47,162,100
45722,ECOR10,NODE_9,BAC0113|cutA|sp|P69488|CUTA_ECOLI,100,112,0,0,27114,27449,1,112,4.27E-59,198,100
45593,ECOR10,NODE_9,BAC0485|pmrC|tr|Q70FH1|Q70FH1_PECCC,58.736,538,222,0,56896,58509,7,544,0,659,76.39
45681,ECOR10,NODE_9,BAC0487|pmrA|sp|Q70FH0|PMRA_PECSS,59.729,221,89,0,58521,59183,1,221,7.38E-72,239,78.73
45631,ECOR10,NODE_9,BAC0488|pmrB|sp|Q70FG9|PMRB_PECSS,56.941,353,147,3,59223,60272,10,360,4.39E-115,369,71.67
45622,ECOR10,NODE_9,BAC0220|mdtN/yjcR|sp|P32716|MDTN_ECOLI,100,343,0,0,87962,88990,1,343,3.89E-178,549,100
45582,ECOR10,NODE_9,BAC0564|actP/yjcG|sp|P32705|ACTP_ECOLI,100,549,0,0,106832,108478,1,549,0,949,100
45662,ECOR10,NODE_9,BAC0370|soxR|sp|P0ACS2|SOXR_ECOLI,100,154,0,0,113803,114264,154,1,1.25E-98,313,100
45703,ECOR10,NODE_9,BAC0371|soxS|sp|P0A9E2|SOXS_ECOLI,100,107,0,0,114350,114670,1,107,7.23E-67,220,100
4659,ECOR10,NODE_9,BAC0316|pstB|sp|P0AAH0|PSTB_ECOLI,44.186,43,19,1,117868,117981,10,52,0.3,35,60.47
47422,ECOR10,NODE_9,BAC0440|yfeB|sp|Q56953|YFEB_YERPE,45.455,77,38,2,120307,120537,134,206,8.86E-09,58.5,64.94
45641,ECOR10,NODE_9,BAC0470|zur/yjbK|sp|P0AC51|ZUR_ECOLI,100,171,0,0,131730,132242,1,171,4.91E-112,352,100
45612,ECOR10,NODE_9,BAC0196|iclR|sp|P16528|ICLR_ECOLI,100,274,0,0,168105,168926,1,274,0,563,100
45672,ECOR10,NODE_9,BAC0447|yjaA|sp|P09162|YJAA_ECOLI,100,127,0,0,178217,178597,127,1,3.05E-80,259,100
2847,ECOR11,NODE_1,BAC0089|corR|tr|Q1D6V8|Q1D6V8_MYXXD,44.545,440,222,5,37429,38682,25,464,1.83E-108,355,62.05
29572,ECOR11,NODE_1,BAC0583|arsC|sp|P52147|ARSC2_ECOLX,42.105,114,65,1,108132,108473,116,4,1.10E-22,96.7,64.04
28411,ECOR11,NODE_1,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,48.254,315,149,3,112181,113125,441,141,9.88E-78,266,66.67
27901,ECOR11,NODE_1,BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI,100,1037,0,0,135358,138468,1037,1,0,2062,100
2830,ECOR11,NODE_1,BAC0293|ruvB|tr|B5L348|B5L348_9PSED,59.635,384,153,2,147698,148849,4,385,6.63E-143,452,73.18
29021,ECOR11,NODE_1,BAC0607|tupC|tr|Q93KD4|Q93KD4_EUBAC,34.842,221,134,4,178459,179118,1,212,8.09E-39,145,60.18
28161,ECOR11,NODE_1,BAC0251|mntH/yfeP|sp|P0A769|MNTH_ECOLI,100,412,0,0,205218,206453,1,412,0,798,100
3210,ECOR11,NODE_1,BAC0176|gadW/yhiW|sp|P63201|GADW_ECOLI,32.692,52,35,0,215940,216095,239,188,9.21E-05,47,63.46
2782,ECOR11,NODE_1,BAC0155|evgS|sp|P58402|EVGS_ECO57,97.828,1197,26,0,229960,233550,1197,1,0,2292,99.08
28452,ECOR11,NODE_1,BAC0154|evgA|sp|P0ACZ4|EVGA_ECOLI,100,204,0,0,233558,234169,204,1,7.92E-111,351,100
2818,ECOR11,NODE_1,BAC0151|emrK|sp|P52599|EMRK_ECOLI,99.742,387,1,0,234585,235745,1,387,0,768,100
28121,ECOR11,NODE_1,BAC0153|emrY|sp|P52600|EMRY_ECOLI,100,512,0,0,235748,237283,1,512,0,907,100
3233,ECOR11,NODE_1,BAC0141|emeA|tr|Q8GR72|Q8GR72_ENTFL,35.593,59,37,1,267647,267823,15,72,0.024,40,62.71
28611,ECOR11,NODE_1,BAC0486|pmrG|sp|Q8ZNF4|AIS_SALTY,66.332,199,66,1,342077,342670,1,199,1.08E-82,270,77.89
2839,ECOR11,NODE_1,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,48.322,447,214,5,384474,385808,439,8,2.35E-112,366,66
27842,ECOR11,NODE_1,BAC0155|evgS|sp|P58402|EVGS_ECO57,49.565,115,58,0,390282,390626,957,1071,3.90E-25,115,71.3
2827,ECOR11,NODE_1,BAC0529|kpnO|tr|C4XBC3|C4XBC3_KLEPN,79.13,345,66,3,395015,396043,25,365,4.67E-174,540,87.83
8557,ECOR11,NODE_10,BAC0462|zntR/yhdM|sp|P0ACS5|ZNTR_ECOLI,30.435,69,48,0,25273,25479,1,69,2.89E-06,48.1,62.32
8556,ECOR11,NODE_10,BAC0682|merR1|sp|P22853|MERR_BACCE,32.836,67,45,0,25276,25476,3,69,2.36E-06,48.1,64.18
85511,ECOR11,NODE_10,BAC0610|modB|sp|P0AF01|MODB_ECOLI,46.667,60,32,0,57945,58124,164,105,2.17E-06,50.4,61.67
8299,ECOR11,NODE_10,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,39.1,289,164,3,58935,59801,277,1,9.87E-61,212,60.9
8286,ECOR11,NODE_10,BAC0540|nfsA|sp|P17117|NFSA_ECOLI,100,240,0,0,62943,63662,240,1,1.76E-142,442,100
8284,ECOR11,NODE_10,BAC0208|mdfA/cmr|sp|P0AEY8|MDFA_ECOLI,100,410,0,0,69944,71173,410,1,0,773,100
83111,ECOR11,NODE_10,BAC0272|nikC|sp|P0AFA9|NIKC_ECOLI,38.776,245,149,1,82054,82788,271,28,1.64E-46,168,60.41
8309,ECOR11,NODE_10,BAC0271|nikB|sp|P33591|NIKB_ECOLI,40.256,313,182,2,82953,83879,312,1,1.81E-52,187,60.7
84401,ECOR11,NODE_10,BAC0611|modC|sp|P09833|MODC_ECOLI,31.897,116,75,1,86556,86891,217,102,4.15E-08,57,61.21
8536,ECOR11,NODE_10,BAC0354|smdB|tr|A7VN02|A7VN02_SERMA,31.579,57,37,1,97405,97569,533,477,0.097,37,61.4
8287,ECOR11,NODE_10,BAC0253|mntR|sp|P0A9F1|MNTR_ECOLI,100,155,0,0,101199,101663,155,1,1.61E-98,312,100
8508,ECOR11,NODE_10,BAC0049|bhsA/ycfR/comC|sp|P0AB40|BHSA_ECOLI,43.023,86,48,1,112790,113047,1,85,7.04E-14,68.2,61.63
8509,ECOR11,NODE_10,BAC0049|bhsA/ycfR/comC|sp|P0AB40|BHSA_ECOLI,46.512,86,45,1,116921,117178,1,85,1.19E-09,56.2,62.79
8578,ECOR11,NODE_10,BAC0178|gesA|tr|Q8ZRG8|Q8ZRG8_SALTY,40.323,62,32,1,125003,125173,72,133,0.000626,43.9,61.29
42711,ECOR11,NODE_106,BAC0398|triC|tr|Q663E8|Q663E8_YERPS,30.952,42,29,0,1578,1703,382,423,3,26.2,61.9
71182,ECOR11,NODE_11,BAC0275|nikR|sp|P0A6Z6|NIKR_ECOLI,100,133,0,0,379,777,133,1,7.05E-73,238,100
7094,ECOR11,NODE_11,BAC0274|nikE|sp|P33594|NIKE_ECOLI,100,259,0,0,813,1589,259,1,1.39E-170,524,100
71021,ECOR11,NODE_11,BAC0273|nikD|sp|P33593|NIKD_ECOLI,100,254,0,0,1589,2350,254,1,1.07E-166,512,100
7110,ECOR11,NODE_11,BAC0272|nikC|sp|P0AFA9|NIKC_ECOLI,99.639,277,1,0,2353,3183,277,1,2.21E-157,486,100
7093,ECOR11,NODE_11,BAC0271|nikB|sp|P33591|NIKB_ECOLI,100,314,0,0,3183,4124,314,1,0,628,100
70911,ECOR11,NODE_11,BAC0270|nikA|sp|P33590|NIKA_ECOLI,100,524,0,0,4127,5698,524,1,0,1083,100
7090,ECOR11,NODE_11,BAC0461|zntA/yhhO|sp|P37617|ATZN_ECOLI,100,725,0,0,10740,12914,725,1,0,1303,100
7133,ECOR11,NODE_11,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,39.373,287,163,4,30194,31054,2,277,2.07E-57,202,63.07
71583,ECOR11,NODE_11,BAC0039|baeR|sp|P69228|BAER_ECOLI,37.447,235,137,3,82015,82713,12,238,1.12E-40,150,60
7350,ECOR11,NODE_11,BAC0531|phoR|tr|C4X6T5|C4X6T5_KLEPN,42.373,59,32,1,83826,84002,415,471,9.97E-05,46.6,61.02
73311,ECOR11,NODE_11,BAC0311|pgpA/ltpgpA|sp|P21441|MDR_LEITA,35.556,45,27,1,136230,136358,1330,1286,0.7,34.3,60
72691,ECOR11,NODE_11,BAC0433|ybtQ|tr|Q9Z375|Q9Z375_YERPE,35.088,57,35,1,136683,136847,538,482,0.021,38.9,71.93
53801,ECOR11,NODE_12,BAC0087|mgtA|sp|P0ABB8|ATMA_ECOLI,99.666,898,3,0,30405,33098,898,1,0,1778,99.67
54692,ECOR11,NODE_12,BAC0496|adeN|tr|B7H1T7|B7H1T7_ACIB3,46,50,27,0,71362,71511,77,28,1.12E-06,50.8,64
53831,ECOR11,NODE_12,BAC0378|sugE|sp|P69937|SUGE_ECOLI,100,105,0,0,130170,130484,105,1,7.52E-47,162,100
5382,ECOR11,NODE_12,BAC0113|cutA|sp|P69488|CUTA_ECOLI,100,112,0,0,142003,142338,1,112,3.46E-59,198,100
5657,ECOR11,NODE_13,BAC0475|dmeR|tr|Q1MJL3|Q1MJL3_RHIL3,38.462,91,55,1,21923,22195,90,1,2.18E-14,69.3,65.93
55812,ECOR11,NODE_13,BAC0607|tupC|tr|Q93KD4|Q93KD4_EUBAC,34.314,204,133,1,27187,27798,3,205,2.92E-34,130,60.29
56934,ECOR11,NODE_13,BAC0149|emrD|sp|P31442|EMRD_ECOLI,34.615,52,34,0,86050,86205,106,55,0.009,39.7,67.31
55592,ECOR11,NODE_13,BAC0490|G2alt|tr|B0FSM1|B0FSM1_9BACI,56.164,219,92,2,104613,105269,215,1,1.52E-76,252,70.78
5553,ECOR11,NODE_13,BAC0353|smdA|tr|A7VN01|A7VN01_SERMA,78.912,588,124,0,108587,110350,1,588,0,912,88.27
55562,ECOR11,NODE_13,BAC0354|smdB|tr|A7VN02|A7VN02_SERMA,79.932,588,118,0,110352,112115,1,588,0,870,89.8
76441,ECOR11,NODE_137,BAC0180|gesC|tr|Q8ZRH0|Q8ZRH0_SALTY,30,40,26,1,276,389,449,410,6.6,23.9,62.5
7667,ECOR11,NODE_14,BAC0164|fecE|sp|P15031|FECE_ECOLI,49.206,252,127,1,10162,10917,253,3,5.15E-69,232,67.06
7761,ECOR11,NODE_14,BAC0244|mexT|tr|O87785|O87785_PSEAI,41.772,79,46,0,28115,28351,80,2,9.90E-15,76.3,64.56
7665,ECOR11,NODE_14,BAC0115|cutE/lnt|sp|P23930|LNT_ECOLI,100,512,0,0,78886,80421,512,1,0,942,100
7666,ECOR11,NODE_14,BAC0088|corC|sp|P0A2L3|CORC_SALTY,97.26,292,8,0,80449,81324,292,1,1.13E-178,548,99.66
77201,ECOR11,NODE_14,BAC0487|pmrA|sp|Q70FH0|PMRA_PECSS,37.584,149,84,4,110379,110822,214,74,2.07E-21,94,62.42
32653,ECOR11,NODE_145,BAC0173|gadB|sp|P69910|DCEB_ECOLI,100,377,0,0,1,1131,82,458,0,789,100
12892,ECOR11,NODE_15,BAC0260|mtrF|tr|B4RN92|B4RN92_NEIG2,39.04,479,278,2,25491,26885,21,499,5.32E-80,274,60.54
12931,ECOR11,NODE_15,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,38.947,285,160,4,44346,45200,272,2,7.27E-59,206,62.46
1381,ECOR11,NODE_15,BAC0599|modB|tr|Q72FN2|Q72FN2_DESVH,40,40,24,0,52167,52286,149,110,0.71,33.1,60
1291,ECOR11,NODE_15,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,50.435,230,113,1,58139,58828,141,369,8.29E-65,227,69.57
12881,ECOR11,NODE_15,BAC0156|fabI|sp|P0AEK4|FABI_ECOLI,100,262,0,0,74991,75776,1,262,3.09E-175,537,100
13693,ECOR11,NODE_15,BAC0557|ycnK|sp|P94433|YCNK_BACSU,30.986,71,48,1,81689,81901,5,74,0.001,40.8,61.97
12872,ECOR11,NODE_15,BAC0003|acn|tr|O53166|O53166_MYCTU,55.591,939,353,9,87526,90174,941,11,0,1004,70.07
12741,ECOR11,NODE_16,BAC0011|acrR/ybaH|sp|P0ACS9|ACRR_ECOLI,32.075,53,35,1,5440,5598,58,7,0.15,35,66.04
11432,ECOR11,NODE_16,BAC0536|oxyRkp|tr|C4WZN6|C4WZN6_KLEPN,96.066,305,12,0,7333,8247,305,1,0,602,97.7
1145,ECOR11,NODE_16,BAC0181|glpF|sp|P0AER0|GLPF_ECOLI,100,281,0,0,48647,49489,1,281,3.18E-170,523,100
11441,ECOR11,NODE_16,BAC0167|fieF/yiip|sp|P69380|FIEF_ECOLI,100,300,0,0,59369,60268,300,1,0,574,100
1148,ECOR11,NODE_16,BAC0533|cpxR|tr|C4WZK6|C4WZK6_KLEPN,94.828,232,12,0,61067,61762,1,232,4.18E-123,386,97.41
11411,ECOR11,NODE_16,BAC0532|cpxA|tr|C4WZK5|C4WZK5_KLEPN,94.748,457,24,0,61762,63132,1,457,0,809,98.03
1147,ECOR11,NODE_16,BAC0368|sodA|sp|P00448|SODM_ECOLI,100,197,0,0,65337,65927,197,1,1.74E-132,412,100
11501,ECOR11,NODE_16,BAC0089|corR|tr|Q1D6V8|Q1D6V8_MYXXD,47.545,387,198,3,111557,112705,4,389,8.30E-100,329,63.82
2520,ECOR11,NODE_17,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,42.271,317,165,5,6313,7257,441,141,5.27E-67,233,62.15
25191,ECOR11,NODE_17,BAC0138|dsbC|sp|P0AEG6|DSBC_ECOLI,100,236,0,0,40399,41106,236,1,6.62E-159,489,100
25511,ECOR11,NODE_17,BAC0493|kmrA|tr|C4X8X9|C4X8X9_KLEPN,44,50,26,1,90784,90933,62,109,2.7,31.6,60
6085,ECOR11,NODE_18,BAC0107|cusA/ybdE|sp|P38054|CUSA_ECOLI,100,1047,0,0,6243,9383,1047,1,0,2047,100
61671,ECOR11,NODE_18,BAC0108|cusB|sp|P77239|CUSB_ECOLI,100,386,0,0,9398,10555,407,22,0,786,100
6333,ECOR11,NODE_18,BAC0110|cusF/cusX|sp|P77214|CUSF_ECOLI,100,110,0,0,10637,10966,110,1,3.03E-69,226,100
6164,ECOR11,NODE_18,BAC0109|cusC/ylcB|sp|P77211|CUSC_ECOLI,100,457,0,0,11126,12496,457,1,0,840,100
61721,ECOR11,NODE_18,BAC0112|cusS|sp|P77485|CUSS_ECOLI,100,414,0,0,13326,14567,1,414,0,725,100
61731,ECOR11,NODE_18,BAC0112|cusS|sp|P77485|CUSS_ECOLI,100,62,0,0,14569,14754,419,480,0,128,100
6417,ECOR11,NODE_18,BAC0177|gadX|sp|P37639|GADX_ECOLI,39.691,194,117,0,21347,21928,54,247,5.80E-30,120,63.4
64181,ECOR11,NODE_18,BAC0154|evgA|sp|P0ACZ4|EVGA_ECOLI,32.338,201,133,2,22314,22916,2,199,7.18E-30,117,61.19
63441,ECOR11,NODE_18,BAC0196|iclR|sp|P16528|ICLR_ECOLI,42.424,264,149,2,52974,53756,271,8,1.78E-61,211,65.91
62261,ECOR11,NODE_18,BAC0166|fetB/ybbM|sp|P77307|YBBM_ECOLI,100,259,0,0,69423,70199,259,1,5.89E-151,467,100
62901,ECOR11,NODE_18,BAC0105|cueR/ybbI|sp|P0A9G4|CUER_ECOLI,100,135,0,0,72385,72789,135,1,2.30E-88,282,100
6097,ECOR11,NODE_18,BAC0725|copA|sp|Q59385|COPA_ECOLI,100,834,0,0,75403,77904,1,834,0,1592,100
62371,ECOR11,NODE_18,BAC0011|acrR/ybaH|sp|P0ACS9|ACRR_ECOLI,100,215,0,0,100276,100920,215,1,2.75E-144,446,100
61822,ECOR11,NODE_18,BAC0005|acrA|sp|P0AE06|ACRA_ECOLI,100,397,0,0,101062,102252,1,397,0,700,100
60891,ECOR11,NODE_18,BAC0006|acrB|sp|P31224|ACRB_ECOLI,100,1049,0,0,102278,105424,1,1049,0,2011,100
7490,ECOR11,NODE_19,BAC0446|yhcN|sp|P64614|YHCN_ECOLI,100,87,0,0,6552,6812,87,1,2.81E-39,140,100
44872,ECOR11,NODE_2,BAC0116|cutF/nlpE|sp|P40710|NLPE_ECOLI,100,236,0,0,7977,8684,236,1,1.13E-159,492,100
4489,ECOR11,NODE_2,BAC0164|fecE|sp|P15031|FECE_ECOLI,42.52,254,145,1,53384,54145,254,2,2.12E-60,208,61.02
44832,ECOR11,NODE_2,BAC0103|cueO|sp|P36649|CUEO_ECOLI,100,516,0,0,85323,86870,516,1,0,961,100
4759,ECOR11,NODE_2,BAC0714|arsT|tr|B7FB00|B7FB00_9MICO,35.714,42,27,0,95901,96026,46,5,1.1,34.3,61.9
44821,ECOR11,NODE_2,BAC0296|ostA/lptD|sp|P31554|LPTD_ECOLI,100,784,0,0,166845,169196,1,784,0,1629,100
44881,ECOR11,NODE_2,BAC0644|corD|sp|Q56017|APAG_SALTY,94.4,125,7,0,172348,172722,1,125,9.53E-66,218,97.6
4499,ECOR11,NODE_2,BAC0596|baeR|tr|D0ZNE3|D0ZNE3_SALT1,42.222,225,117,3,233333,233989,230,13,2.10E-47,170,62.22
4501,ECOR11,NODE_2,BAC0039|baeR|sp|P69228|BAER_ECOLI,42.667,225,116,3,233333,233989,230,13,2.34E-47,170,62.22
44851,ECOR11,NODE_2,BAC0334|robA|sp|P0ACI0|ROB_ECOLI,100,289,0,0,234701,235567,1,289,0,602,100
8514,ECOR11,NODE_20,BAC0352|sitD|tr|Q9XCR9|Q9XCR9_SALTM,69.663,267,81,0,2470,3270,274,8,4.36E-111,353,86.52
848,ECOR11,NODE_20,BAC0351|sitC|tr|Q9XCS0|Q9XCS0_SALTM,85.816,282,40,0,3297,4142,282,1,8.03E-132,413,92.55
845,ECOR11,NODE_20,BAC0350|sitB|tr|Q9XCS1|Q9XCS1_SALTM,77.358,265,60,0,4169,4963,265,1,1.99E-135,423,84.91
842,ECOR11,NODE_20,BAC0349|sitA|tr|Q9XCS2|Q9XCS2_SALTI,76,300,68,2,4969,5865,304,8,1.00E-155,483,87.33
843,ECOR11,NODE_20,BAC0529|kpnO|tr|C4XBC3|C4XBC3_KLEPN,68.783,378,104,6,7045,8175,365,1,3.44E-150,469,81.22
8411,ECOR11,NODE_20,BAC0384|tehA|sp|P25396|TEHA_ECOLI,100,330,0,0,69450,70439,1,330,0,619,100
847,ECOR11,NODE_20,BAC0385|tehB|sp|P25397|TEHB_ECOLI,100,197,0,0,70439,71029,1,197,2.61E-132,410,100
8612,ECOR11,NODE_20,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,42.083,240,138,1,81706,82425,2,240,4.78E-44,163,64.58
914,ECOR11,NODE_20,BAC0610|modB|sp|P0AF01|MODB_ECOLI,38.333,60,37,0,83296,83475,105,164,4.27E-05,45.8,60
17592,ECOR11,NODE_21,BAC0053|bmr|sp|P33449|BMR1_BACSU,29.091,55,35,1,2013,2177,32,82,3.5,30.8,61.82
1670,ECOR11,NODE_21,BAC0149|emrD|sp|P31442|EMRD_ECOLI,100,394,0,0,18253,19434,1,394,0,572,100
16782,ECOR11,NODE_21,BAC0195|ibpB|sp|P0C058|IBPB_ECOLI,100,142,0,0,30803,31228,142,1,1.78E-92,294,100
16801,ECOR11,NODE_21,BAC0194|ibpA|sp|P0C054|IBPA_ECOLI,100,137,0,0,31343,31753,137,1,4.57E-87,278,100
1677,ECOR11,NODE_21,BAC0541|yieF|sp|P0AGE6|YIEF_ECOLI,100,188,0,0,58982,59545,1,188,3.58E-123,384,100
